i,c,d,l,s,pr
647,124,7,514,864.000000,0.241604
648,124,7,514,864.000000,0.240628
649,123,7,516,866.000000,0.135335
650,123,7,516,866.000000,0.238672
651,122,7,519,869.000000,0.100374
652,123,7,517,867.000000,0.42124
653,123,7,518,868.000000,0.176558
654,123,7,518,868.000000,0.23474
655,123,7,518,868.000000,0.233753
656,123,7,518,868.000000,0.232765
657,122,7,522,872.000000,0.0719647
658,121,7,524,874.000000,0.172126
659,122,7,522,872.000000,0.555306
660,121,7,528,878.000000,0.0523474
661,121,7,528,878.000000,0.169458
662,122,7,526,876.000000,0.305153
663,123,7,523,873.000000,0.409484
664,123,7,523,873.000000,0.166786
665,122,7,525,875.000000,0.0911536
666,121,7,531,881.000000,0.0272254
667,121,7,531,881.000000,0.164108
668,121,7,529,879.000000,0.298657
669,121,7,529,879.000000,0.162321
670,121,7,529,879.000000,0.161426
671,121,7,529,879.000000,0.160531
672,121,7,527,877.000000,0.294275
673,121,7,527,877.000000,0.158739
674,121,7,527,877.000000,0.157843
675,121,7,527,877.000000,0.156946
676,122,7,524,874.000000,0.39503
677,122,7,524,874.000000,0.155151
678,121,7,526,876.000000,0.0827268
679,121,7,527,877.000000,0.112197
680,121,7,527,877.000000,0.152456
681,122,7,525,875.000000,0.284261
682,122,7,525,875.000000,0.150658
683,123,7,522,872.000000,0.386986
684,123,7,522,872.000000,0.148858
685,123,7,522,872.000000,0.147958
686,123,7,522,872.000000,0.147057
687,123,7,522,872.000000,0.146157
688,122,7,529,879.000000,0.0152975
689,121,7,532,882.000000,0.0397237
690,121,7,532,882.000000,0.103791
691,121,7,532,882.000000,0.103031
692,120,7,535,885.000000,0.0384911
693,119,7,537,887.000000,0.0528036
694,119,7,537,887.000000,0.100753
695,120,7,530,880.000000,1
696,120,7,530,880.000000,0.138042
697,120,7,530,880.000000,0.13714
698,120,7,532,882.000000,0.0701018
699,120,7,532,882.000000,0.135335
700,121,7,529,879.000000,0.366651
701,121,7,529,879.000000,0.133531
702,121,7,525,875.000000,0.509971
703,121,7,525,875.000000,0.25889
704,121,7,525,875.000000,0.257707
705,121,7,525,875.000000,0.256521
706,121,7,525,875.000000,0.255333
707,121,7,525,875.000000,0.254142
708,122,7,523,873.000000,0.50294
709,122,7,521,871.000000,0.501749
710,122,7,521,871.000000,0.250553
711,122,7,523,873.000000,0.124514
712,122,7,522,872.000000,0.351588
713,122,7,522,872.000000,0.246942
714,122,7,522,872.000000,0.245733
715,123,7,519,869.000000,0.703201
716,123,7,519,869.000000,0.243308
717,122,7,523,873.000000,0.0586083
718,123,7,521,871.000000,0.490788
719,123,7,521,871.000000,0.239651
720,123,7,519,869.000000,0.48829
721,123,7,519,869.000000,0.237201
722,122,7,523,873.000000,0.0556827
723,121,7,526,876.000000,0.0791641
724,121,7,524,874.000000,0.483225
725,121,7,528,878.000000,0.0539494
726,121,7,528,878.000000,0.111047
727,121,7,527,877.000000,0.159098
728,121,7,527,877.000000,0.10926
729,121,7,526,876.000000,0.156946
730,121,7,526,876.000000,0.107476
731,121,7,530,880.000000,0.0239606
732,121,7,531,881.000000,0.0343626
