i,c,d,l,s
698,2791,24,1149,2466.000000
699,2791,24,1149,2466.000000
700,2791,24,1149,2466.000000
701,2791,24,1149,2466.000000
702,2791,24,1149,2466.000000
703,2791,24,1149,2466.000000
704,2791,24,1149,2466.000000
705,2791,24,1149,2466.000000
706,2791,24,1149,2466.000000
707,2791,24,1149,2466.000000
708,2791,24,1149,2466.000000
709,2791,24,1149,2466.000000
710,2791,24,1149,2466.000000
711,2791,24,1149,2466.000000
712,2791,24,1149,2466.000000
713,2791,24,1149,2466.000000
714,2791,24,1149,2466.000000
715,2791,24,1149,2466.000000
716,2791,24,1149,2466.000000
717,2791,24,1149,2466.000000
718,2791,24,1149,2466.000000
719,2791,24,1149,2466.000000
720,2791,24,1149,2466.000000
721,2791,24,1149,2466.000000
722,2791,24,1149,2466.000000
723,2791,24,1149,2466.000000
724,2791,24,1149,2466.000000
725,2791,24,1149,2466.000000
726,2791,24,1149,2466.000000
727,2791,24,1149,2466.000000
728,2791,24,1149,2466.000000
729,2791,24,1149,2466.000000
730,2791,24,1149,2466.000000
731,2791,24,1149,2466.000000
732,2791,24,1149,2466.000000
733,2791,24,1149,2466.000000
734,2791,24,1149,2466.000000
735,2791,24,1149,2466.000000
736,2791,24,1149,2466.000000
737,2791,24,1149,2466.000000
738,2791,24,1149,2466.000000
739,2791,24,1149,2466.000000
740,2791,24,1149,2466.000000
741,2791,24,1149,2466.000000
742,2791,24,1149,2466.000000
743,2791,24,1149,2466.000000
744,2791,24,1149,2466.000000
745,2791,24,1149,2466.000000
746,2791,24,1149,2466.000000
747,2791,24,1149,2466.000000
748,2791,24,1149,2466.000000
749,2791,24,1149,2466.000000
750,2791,24,1149,2466.000000
751,2791,24,1149,2466.000000
752,2791,24,1149,2466.000000
753,2791,24,1149,2466.000000
754,2791,24,1149,2466.000000
755,2791,24,1149,2466.000000
756,2791,24,1149,2466.000000
757,2791,24,1149,2466.000000
758,2791,24,1149,2466.000000
759,2791,24,1149,2466.000000
760,2791,24,1149,2466.000000
761,2791,24,1149,2466.000000
762,2791,24,1149,2466.000000
763,2791,24,1149,2466.000000
764,2791,24,1149,2466.000000
765,2791,24,1149,2466.000000
766,2791,24,1149,2466.000000
767,2791,24,1149,2466.000000
768,2791,24,1149,2466.000000
769,2791,24,1149,2466.000000
770,2791,24,1149,2466.000000
771,2791,24,1149,2466.000000
772,2791,24,1149,2466.000000
773,2791,24,1149,2466.000000
774,2791,24,1149,2466.000000
775,2791,24,1149,2466.000000
776,2791,24,1149,2466.000000
777,2791,24,1149,2466.000000
778,2791,24,1149,2466.000000
779,2791,24,1149,2466.000000
780,2791,24,1149,2466.000000
781,2791,24,1149,2466.000000
782,2791,24,1149,2466.000000
783,2791,24,1149,2466.000000
784,2791,24,1149,2466.000000
785,2791,24,1149,2466.000000
786,2791,24,1149,2466.000000
787,2791,24,1149,2466.000000
788,2791,24,1149,2466.000000
789,2791,24,1149,2466.000000
790,2791,24,1149,2466.000000
791,2791,24,1149,2466.000000
792,2791,24,1149,2466.000000
793,2791,24,1149,2466.000000
794,2791,24,1149,2466.000000
795,2791,24,1149,2466.000000
796,2791,24,1149,2466.000000
797,2791,24,1149,2466.000000
