nCospec,nIndividualDups,nAllDupEvents,nJointDups,nXtinc,nHostSwitch,nLineageSort,codivs,dups,losses,cost,sdTime,mrDups,mrLosses,mrCost,mrTime,nH,nP,rB,pJ
1176,192,6,6,0,0,1254,1189,12,1163,1283,12.631836414337158,6,1192,1252,7.460232734680176,50,90,2.0,0.5
1013,197,4,4,0,0,947,1029,6,856,916,9.589190483093262,4,860,900,0.6423563957214355,50,90,2.0,0.5
918,89,3,3,0,0,931,928,4,827,867,9.540695190429688,3,828,858,0.29456162452697754,50,90,2.0,0.5
1033,142,5,5,0,0,1020,1048,13,893,1023,11.327791690826416,5,917,967,2.7721424102783203,50,90,2.0,0.5
819,106,5,5,0,0,847,828,6,795,855,9.194612741470337,6,785,845,5.761607885360718,50,80,2.0,0.5
1207,171,4,4,0,0,1249,1225,6,1179,1239,13.679783821105957,5,1165,1215,1.6582751274108887,50,80,2.0,0.5
816,40,2,2,0,0,837,822,2,774,794,4.242085218429565,3,772,802,0.11112570762634277,50,80,2.0,0.5
503,73,6,6,0,0,501,507,6,418,478,5.781901836395264,6,418,478,0.9347176551818848,50,80,2.0,0.5
556,54,4,4,0,0,526,560,4,442,482,5.466836214065552,4,442,482,0.38060426712036133,50,80,2.0,0.5
631,149,4,4,0,0,631,631,6,564,624,7.303440809249878,4,571,611,0.12444067001342773,50,80,2.0,0.5
753,33,1,1,0,0,756,763,1,661,671,6.629497289657593,1,661,671,0.06688618659973145,50,80,2.0,0.5
1336,247,5,5,0,0,1365,1354,8,1302,1382,16.036417484283447,6,1286,1346,10.93180227279663,50,80,2.0,0.5
556,37,2,2,0,0,547,558,2,473,493,6.070832967758179,2,473,493,0.17658376693725586,50,80,2.0,0.5
745,82,4,4,0,0,745,758,4,642,682,8.15194296836853,4,642,682,0.3831055164337158,50,80,2.0,0.5
1032,142,3,3,0,0,1081,1046,6,978,1038,8.23263430595398,3,996,1026,0.15216851234436035,50,80,2.0,0.5
821,77,3,3,0,0,776,829,4,684,724,8.293967008590698,3,688,718,0.6166398525238037,50,80,2.0,0.5
692,63,3,3,0,0,733,702,3,667,697,5.356931209564209,3,667,697,0.17853641510009766,50,80,2.0,0.5
1541,272,5,5,0,0,1488,1555,7,1430,1500,18.62030577659607,5,1428,1478,7.328300476074219,50,80,2.0,0.5
650,58,5,4,0,0,635,657,5,551,601,6.542427062988281,5,551,601,3.2102603912353516,50,80,2.0,0.5
1928,308,6,6,0,0,1814,1961,7,1717,1787,22.20674753189087,6,1700,1760,30.395691633224487,50,80,2.0,0.5
2065,394,5,5,0,0,2113,2100,9,2010,2100,22.4576313495636,7,2012,2082,0.8833622932434082,50,80,2.0,0.5
555,46,2,2,0,0,508,561,2,439,459,5.552640914916992,2,439,459,0.09950923919677734,50,80,2.0,0.5
717,33,2,2,0,0,651,721,2,583,603,6.902018785476685,2,583,603,0.20620226860046387,50,80,2.0,0.5
698,68,5,5,0,0,673,702,5,579,629,5.709609031677246,5,579,629,0.3673055171966553,50,80,2.0,0.5
623,69,2,2,0,0,605,630,2,528,548,6.262057304382324,2,528,548,0.11315774917602539,50,80,2.0,0.5
510,57,2,2,0,0,497,510,2,424,444,5.347723007202148,2,424,444,0.06314635276794434,50,80,2.0,0.5
570,77,4,4,0,0,620,581,5,536,586,5.572952508926392,4,534,574,0.45441412925720215,50,80,2.0,0.5
1209,543,8,8,0,0,1147,1237,14,1001,1141,17.550964832305908,8,1021,1101,1.475539207458496,50,80,2.0,0.5
1432,164,4,4,0,0,1429,1452,5,1349,1399,16.623066425323486,4,1350,1390,1.3491907119750977,50,80,2.0,0.5
1539,236,5,5,0,0,1553,1560,10,1463,1563,18.06494975090027,6,1478,1538,1.0431056022644043,50,80,2.0,0.5
1079,246,7,7,0,0,1027,1089,9,953,1043,13.274947881698608,7,936,1006,10.488972425460815,50,80,2.0,0.5
2199,521,9,9,0,0,2357,2249,18,2196,2376,28.69550108909607,10,2237,2337,1493.79727435112,50,80,2.0,0.5
978,224,6,6,0,0,979,1003,10,879,979,11.204624891281128,6,884,944,6.218871355056763,50,80,2.0,0.5
549,136,6,6,0,0,613,560,7,502,572,6.087462663650513,6,511,571,2.6816680431365967,50,80,2.0,0.5
1013,216,8,8,0,0,941,1026,13,845,975,10.296732425689697,8,855,935,5.007468938827515,50,80,2.0,0.5
1887,243,5,5,0,0,1818,1912,7,1743,1813,21.610312461853027,6,1732,1792,2.373358964920044,50,80,2.0,0.5
963,105,3,3,0,0,968,976,3,901,931,11.200305938720703,3,901,931,1.043548583984375,50,80,2.0,0.5
696,47,3,3,0,0,663,697,3,581,611,8.214415788650513,3,581,611,0.12963557243347168,50,80,2.0,0.5
1607,182,4,4,0,0,1682,1620,7,1621,1691,16.158910751342773,5,1624,1674,6.0029261112213135,50,80,2.0,0.5
1260,132,4,4,0,0,1262,1276,4,1185,1225,14.560974597930908,4,1185,1225,1.3706896305084229,50,80,2.0,0.5
840,112,3,3,0,0,807,842,4,772,812,6.573998928070068,3,780,810,0.20653939247131348,50,80,2.0,0.5
661,71,4,4,0,0,711,665,4,611,651,7.302000522613525,4,611,651,0.23389792442321777,50,80,2.0,0.5
594,12,1,1,0,0,613,596,1,525,535,3.2338409423828125,1,525,535,0.08315062522888184,50,80,2.0,0.5
857,175,6,6,0,0,862,867,9,761,851,9.309694766998291,6,757,817,2.8076062202453613,50,80,2.0,0.5
611,172,4,4,0,0,689,631,5,625,675,5.939849853515625,4,622,662,0.2566852569580078,50,80,2.0,0.5
553,11,2,2,0,0,553,553,2,488,508,5.365994453430176,2,488,508,0.08170509338378906,50,80,2.0,0.5
1414,224,6,6,0,0,1358,1434,11,1257,1367,15.89772081375122,6,1249,1309,22.785316228866577,50,80,2.0,0.5
721,44,1,1,0,0,732,726,1,693,703,2.9873716831207275,1,693,703,0.04186129570007324,50,80,2.0,0.5
946,166,4,4,0,0,955,959,5,889,939,9.32450556755066,4,889,929,0.47902631759643555,50,80,2.0,0.5
2008,254,4,4,0,0,2070,2045,5,1979,2029,20.392266273498535,4,1973,2013,2.16450572013855,50,80,2.0,0.5
1171,93,2,2,0,0,1157,1178,2,1121,1141,10.669909238815308,2,1121,1141,0.10508036613464355,50,80,2.0,0.5
803,106,3,3,0,0,799,810,4,755,795,7.134491443634033,3,753,783,0.777090311050415,50,80,2.0,0.5
870,155,5,5,0,0,918,883,6,846,906,9.647655487060547,5,846,896,1.039076566696167,50,80,2.0,0.5
533,40,2,2,0,0,561,538,2,471,491,5.7858099937438965,2,471,491,0.0971977710723877,50,80,2.0,0.5
1186,205,5,5,0,0,1185,1206,6,1099,1159,13.637404918670654,5,1098,1148,2.2492029666900635,50,80,2.0,0.5
562,51,3,3,0,0,564,569,3,474,504,6.131891489028931,3,474,504,0.29849863052368164,50,80,2.0,0.5
2195,295,6,6,0,0,2133,2219,12,2042,2162,22.70455527305603,8,2055,2135,129.82707691192627,50,80,2.0,0.5
866,97,5,5,0,0,820,876,9,732,822,9.007751703262329,5,738,788,1.801163673400879,50,80,2.0,0.5
1147,100,2,2,0,0,1199,1164,4,1130,1170,5.926022052764893,3,1139,1169,0.0831749439239502,50,80,2.0,0.5
666,81,4,4,0,0,649,673,5,557,607,8.173698425292969,4,556,596,0.4401862621307373,50,80,2.0,0.5
1290,257,6,6,0,0,1288,1309,12,1213,1333,14.406430959701538,7,1229,1299,151.94464015960693,50,80,2.0,0.5
