nCospec,nIndividualDups,nAllDupEvents,nJointDups,nXtinc,nHostSwitch,nLineageSort,codivs,dups,losses,cost,sdTime,mrDups,mrLosses,mrCost,mrTime,nH,nP,rB,pJ
2088,317,5,5,0,0,2108,2126,7,2001,2071,226.69244027137756,7,2001,2071,4.877427101135254,50,80,2.0,0.5
1083,282,6,6,0,0,1106,1102,7,1030,1100,109.94844388961792,6,1036,1096,0.8337631225585938,50,80,2.0,0.5
1814,450,6,6,0,0,1792,1840,8,1707,1787,196.55215191841125,7,1716,1786,1.666274070739746,50,80,2.0,0.5
863,91,4,4,0,0,795,872,4,724,764,83.1066906452179,4,724,764,2.5470540523529053,50,80,2.0,0.5
520,19,2,2,0,0,526,523,2,449,469,46.61791753768921,2,449,469,0.18224811553955078,50,80,2.0,0.5
2810,1079,13,13,0,0,2767,2880,19,2573,2763,449.5263419151306,14,2603,2743,3613.5133390426636,50,80,2.0,0.5
573,22,1,1,0,0,554,574,1,466,476,63.090031147003174,1,466,476,0.09510612487792969,50,80,2.0,0.5
843,421,6,6,0,0,883,873,6,787,847,105.83707189559937,6,787,847,0.4285166263580322,50,80,2.0,0.5
1629,237,5,5,0,0,1648,1654,5,1595,1645,117.98418998718262,5,1595,1645,242.60696744918823,50,80,2.0,0.5
854,117,5,5,0,0,849,865,5,798,848,77.73656225204468,6,790,850,1.924569845199585,50,80,2.0,0.5
870,76,4,4,0,0,814,878,4,729,769,79.2394073009491,4,729,769,0.878131628036499,50,80,2.0,0.5
2071,232,4,4,0,0,2041,2094,5,1967,2017,208.6037576198578,4,1978,2018,0.8373587131500244,50,80,2.0,0.5
2855,587,6,6,0,0,2918,2903,10,2765,2865,388.0982015132904,9,2768,2858,5.313438415527344,50,80,2.0,0.5
1262,170,5,5,0,0,1275,1278,5,1214,1264,135.95337557792664,6,1209,1269,12.927883386611938,50,80,2.0,0.5
833,34,1,1,0,0,845,837,1,780,790,71.24431777000427,1,780,790,0.10539770126342773,50,80,2.0,0.5
1003,81,3,3,0,0,1023,1018,3,951,981,86.35806894302368,3,951,981,0.33031177520751953,50,80,2.0,0.5
1575,213,4,4,0,0,1629,1599,5,1565,1615,177.7723424434662,4,1571,1611,0.40755128860473633,50,80,2.0,0.5
587,76,2,2,0,0,599,594,3,548,578,42.25280284881592,2,558,578,0.0680854320526123,50,80,2.0,0.5
902,82,3,3,0,0,883,910,3,833,863,52.36385750770569,3,833,863,0.921778678894043,50,80,2.0,0.5
902,86,2,2,0,0,1004,914,2,951,971,76.28923988342285,2,951,971,0.25902628898620605,50,80,2.0,0.5
514,4,1,1,0,0,528,515,1,448,458,16.83436918258667,1,448,458,0.04965662956237793,50,80,2.0,0.5
2246,671,6,6,0,0,2290,2283,8,2143,2223,272.45097041130066,9,2137,2227,1.2770171165466309,50,80,2.0,0.5
885,121,6,6,0,0,814,896,6,761,821,96.42559957504272,7,755,825,3.202699661254883,50,80,2.0,0.5
